tick,moisture,sunlight,temperature,soil_health,event_marker
0,79.8,17.1,18.4,61.7,none
1,79.6,21.7,17.2,61.1,none
2,79.4,22.1,18.5,63.2,none
3,79.2,20.3,17.4,60.8,none
4,78.9,22.2,17.8,62.0,none
5,78.7,22.1,17.7,61.6,none
6,78.6,19.8,19.1,63.0,none
7,78.4,21.4,19.2,63.6,none
8,78.2,20.4,19.3,63.4,none
9,78.1,20.8,18.6,62.3,none
10,77.8,21.0,19.5,63.7,none
11,77.7,22.2,18.6,62.6,none
12,77.4,26.3,19.5,65.1,none
13,77.2,26.1,19.6,65.1,none
14,77.0,23.3,18.8,63.1,none
15,76.8,24.5,18.9,63.4,none
16,76.6,23.8,19.6,64.1,none
17,76.4,26.5,19.6,64.9,none
18,76.1,24.1,19.9,64.6,none
19,76.0,27.1,19.6,65.0,none
20,75.8,24.6,19.1,63.4,none
21,75.6,26.6,18.5,63.0,none
22,75.4,30.1,20.3,66.6,none
23,75.2,28.5,19.5,64.9,none
24,75.0,27.8,20.2,65.7,none
25,74.8,30.7,20.4,66.7,none
26,74.7,27.7,19.2,64.0,none
27,74.4,26.9,19.5,64.2,none
28,74.3,30.6,18.9,64.3,none
29,74.0,28.8,20.1,65.4,none
30,73.9,33.1,20.2,66.8,none
31,73.7,32.4,19.7,65.7,none
32,73.5,30.5,20.0,65.5,none
33,73.3,34.6,20.1,66.9,none
34,73.1,31.4,20.3,66.1,none
35,72.9,30.2,19.9,65.1,none
36,72.7,30.5,19.9,65.1,none
37,72.5,35.6,19.7,66.3,none
38,72.3,35.1,20.5,67.2,none
39,72.1,33.9,21.0,67.5,none
40,71.9,35.0,21.5,68.5,none
41,71.7,32.2,20.2,65.7,none
42,71.6,35.9,20.4,66.9,none
43,71.4,34.0,20.9,67.0,none
44,71.2,33.0,21.4,67.5,none
45,70.9,36.9,21.7,69.1,none
46,70.8,36.9,21.4,68.4,none
47,70.5,34.9,21.5,68.0,none
48,70.3,37.8,21.4,68.6,none
49,70.1,36.8,22.0,69.0,none
50,69.9,36.9,20.2,66.4,none
51,69.7,40.3,21.9,69.7,none
52,69.5,36.8,20.7,66.9,none
53,69.2,42.0,21.9,70.2,none
54,69.0,37.4,21.0,67.3,none
55,68.8,42.8,21.6,69.7,none
56,68.6,38.2,21.2,67.7,none
57,68.4,39.7,21.2,68.1,none
58,68.2,40.6,21.1,68.1,none
59,68.0,42.8,21.7,69.6,none
60,67.7,39.9,20.9,67.4,none
61,67.5,40.7,21.1,67.9,none
62,67.4,42.0,21.2,68.3,none
63,67.1,39.9,22.6,68.0,none
64,67.0,40.2,22.4,68.2,none
65,66.8,45.2,21.2,69.1,none
66,66.5,43.1,21.7,69.1,none
67,66.3,41.9,21.8,68.9,none
68,66.1,45.3,22.6,69.1,none
69,65.9,45.1,21.6,69.2,none
70,65.7,45.8,22.0,70.0,none
71,65.5,46.6,23.0,68.6,none
72,65.3,44.9,22.4,69.0,none
73,65.1,46.1,23.2,68.1,none
74,65.0,47.2,21.8,69.9,none
75,64.8,47.8,21.8,69.9,none
76,64.6,44.8,23.0,67.8,none
77,64.3,46.5,22.9,68.3,none
78,64.1,46.6,23.7,67.0,none
79,63.9,46.4,23.1,67.9,none
80,63.7,47.1,23.3,67.7,none
81,63.5,46.0,23.5,67.0,none
82,63.4,50.4,22.2,70.1,none
83,63.2,48.4,22.6,68.9,none
84,63.0,51.0,22.6,69.6,none
85,62.8,50.9,22.3,69.9,none
86,62.6,52.5,22.4,70.3,none
87,62.4,48.4,23.9,66.6,none
88,62.2,51.1,22.4,69.7,none
89,62.0,51.3,23.9,67.4,none
90,61.7,53.3,23.3,68.7,none
91,61.5,53.5,24.1,67.5,none
92,61.3,51.7,24.4,66.5,none
93,61.1,53.3,22.8,69.2,none
94,60.9,54.9,24.0,67.9,none
95,60.7,54.6,24.5,66.9,none
96,60.5,52.0,24.2,66.4,none
97,60.3,54.5,24.3,67.1,none
98,60.2,54.3,23.9,67.6,none
99,60.0,54.7,24.8,66.2,none
100,34.7,55.0,24.6,56.5,moisture_drop_rapid
101,34.5,58.0,24.7,57.2,none
102,34.3,52.9,24.4,56.0,none
103,34.2,54.2,24.9,55.5,none
104,34.0,57.5,25.1,56.1,none
105,33.8,59.2,24.7,57.2,none
106,33.6,55.5,24.3,56.6,none
107,33.4,55.9,25.0,55.6,none
108,33.2,57.7,25.3,55.6,none
109,33.0,55.0,24.9,55.4,none
110,32.7,55.3,25.2,54.9,none
111,32.5,56.0,24.2,56.5,none
112,32.3,59.1,23.8,58.0,none
113,32.1,59.1,24.8,56.4,none
114,31.9,61.6,25.0,56.8,none
115,31.7,60.1,23.8,57.9,none
116,31.5,60.9,25.8,55.2,none
117,31.3,60.4,25.8,55.0,none
118,31.1,58.9,25.8,54.4,none
119,30.9,58.2,25.8,54.1,none
120,30.7,58.6,26.0,53.9,none
121,30.5,61.0,25.1,55.8,none
122,30.3,61.4,24.6,56.6,none
123,30.0,59.6,25.3,54.9,none
124,29.8,64.7,24.8,57.1,none
125,29.6,61.6,25.1,55.7,none
126,29.4,61.1,24.7,56.0,none
127,29.2,64.5,24.9,56.8,none
128,29.0,66.1,24.9,57.1,none
129,28.7,61.6,24.9,55.7,none
130,28.6,63.6,25.2,55.8,none
131,28.3,63.3,24.6,56.4,none
132,28.1,61.8,25.0,55.3,none
133,28.0,63.4,25.7,54.6,none
134,27.7,67.2,25.6,55.9,none
135,27.5,67.9,25.2,56.5,none
136,27.4,66.8,25.6,55.6,none
137,27.1,68.7,25.2,56.7,none
138,26.9,68.6,26.6,54.5,none
139,26.7,69.3,25.9,55.6,none
140,26.5,64.9,25.3,55.0,none
141,26.3,69.2,25.5,56.0,none
142,26.1,68.2,25.8,55.3,none
143,25.9,69.8,26.4,54.7,none
144,25.7,67.8,25.8,54.9,none
145,25.5,70.6,27.3,53.5,none
146,25.4,69.4,26.9,53.6,none
147,25.1,66.6,25.7,54.5,none
148,24.9,70.4,25.7,55.5,none
149,24.7,71.4,25.5,56.1,none
150,24.5,71.1,27.1,53.5,none
151,24.3,68.4,27.3,52.3,none
152,24.1,69.5,26.2,54.1,none
153,23.9,69.4,27.1,52.7,none
154,23.7,69.4,26.8,53.2,none
155,23.5,67.8,26.2,53.4,none
156,23.3,68.5,25.9,54.1,none
157,23.1,71.1,27.1,52.9,none
158,22.9,72.0,26.9,53.4,none
159,22.8,72.8,27.8,52.2,none
160,22.5,69.9,27.0,52.6,none
161,22.3,71.8,27.6,52.2,none
162,22.1,72.3,27.6,52.2,none
163,21.9,73.4,26.2,54.4,none
164,21.7,72.8,26.7,53.5,none
165,21.5,70.7,26.7,52.8,none
166,21.3,73.2,26.3,54.1,none
167,21.1,74.6,26.4,54.3,none
168,20.9,73.3,26.9,53.0,none
169,20.7,74.1,26.4,54.0,none
170,20.4,72.2,27.4,51.8,none
171,20.3,75.7,27.0,53.4,none
172,20.1,77.8,26.8,54.2,none
173,19.9,76.4,28.4,51.3,none
174,19.7,77.2,28.1,51.8,none
175,19.5,74.2,27.4,52.0,none
176,19.3,76.8,27.6,52.3,none
177,19.1,75.0,28.1,50.9,none
178,18.9,75.7,27.3,52.3,none
179,18.7,77.8,27.5,52.6,none
180,18.6,77.8,27.0,53.2,none
181,18.3,75.9,28.6,50.2,none
182,18.1,78.3,27.7,52.1,none
183,17.9,78.1,27.1,52.9,none
184,17.6,78.9,27.8,52.0,none
185,17.4,77.0,28.9,49.8,none
186,17.3,80.7,28.7,51.1,none
187,17.1,77.5,28.6,50.2,none
188,16.9,76.0,27.9,50.8,none
189,16.7,77.3,28.1,50.7,none
190,16.5,77.4,27.2,52.0,none
191,16.3,79.1,27.9,51.5,none
192,16.0,77.5,28.0,50.7,none
193,15.8,80.1,29.2,49.6,none
194,15.6,79.4,28.5,50.3,none
195,15.4,80.5,28.3,50.9,none
196,15.2,80.8,28.1,51.2,none
197,15.0,81.9,28.1,51.4,none
198,14.9,81.5,28.1,51.2,none
199,14.7,81.7,28.7,50.4,none
200,14.5,79.9,28.3,50.4,none
201,14.3,79.8,29.1,49.0,none
202,14.1,83.3,28.2,51.4,none
203,13.9,78.7,28.5,49.4,none
204,13.8,83.6,28.7,50.6,none
205,13.6,82.7,28.5,50.6,none
206,13.4,82.8,28.3,50.8,none
207,13.2,79.7,29.1,48.5,none
208,13.1,83.0,29.2,49.3,none
209,12.8,81.3,29.3,48.6,none
210,12.6,82.3,29.6,48.4,none
211,12.4,80.3,27.7,50.4,none
212,12.2,83.8,28.9,49.6,none
213,12.0,84.2,28.0,51.0,none
214,11.8,83.9,29.5,48.6,none
215,11.6,81.8,28.6,49.3,none
216,11.4,82.0,28.5,49.4,none
217,11.3,85.0,27.9,51.2,none
218,11.1,82.8,28.2,50.0,none
219,10.9,83.6,29.4,48.3,none
220,10.7,83.2,28.1,50.1,none
221,10.6,86.4,29.7,48.5,none
222,10.4,84.9,29.3,48.6,none
223,10.2,86.3,28.4,50.4,none
224,10.0,87.3,30.1,48.1,none
225,9.8,86.8,29.7,48.4,none
226,9.6,82.1,29.9,46.6,none
227,9.4,83.4,28.7,48.7,none
228,9.1,85.4,28.3,49.9,none
229,8.9,83.3,28.8,48.4,none
230,8.7,83.0,28.7,48.3,none
